alg,run,k,c,tomatch,success,rate,time
Cluster,0,100,100,329641,241912,0.733865,0.231368
Cluster,1,180,100,329641,260496,0.790242,0.243373
Cluster,2,260,100,329641,268698,0.815123,0.286158
Cluster,3,340,100,329641,272830,0.827658,0.340049
Cluster,4,420,100,329641,275326,0.83523,0.392484
Cluster,5,500,100,329641,277472,0.84174,0.447382
Cluster,6,580,100,329641,278638,0.845277,0.489517
Cluster,7,660,100,329641,279552,0.84805,0.539837
Cluster,8,740,100,329641,280370,0.850531,0.583244
Cluster,9,820,100,329641,280814,0.851878,0.648976
Cluster,10,900,100,329641,281226,0.853128,0.71803
Cluster,11,980,100,329641,281630,0.854354,0.78371
Cluster,12,1060,100,329641,281944,0.855306,0.875759
Cluster,13,1140,100,329641,282140,0.855901,0.971975
Cluster,14,1220,100,329641,282406,0.856708,1.0729
Cluster,15,1300,100,329641,282598,0.85729,1.17896
Cluster,16,1380,100,329641,282728,0.857685,1.2932
Cluster,17,1460,100,329641,282722,0.857666,1.40752
Cluster,18,1540,100,329641,282848,0.858049,1.49885
Cluster,19,1620,100,329641,283000,0.85851,1.57796
Cluster,20,1700,100,329641,283030,0.858601,1.63342
Cluster,21,1780,100,329641,283174,0.859038,1.7194
Cluster,22,1860,100,329641,283222,0.859183,1.79305
Cluster,23,1940,100,329641,283254,0.85928,1.87101
Cluster,24,2020,100,329641,283298,0.859414,1.94737
Cluster,25,2100,100,329641,283330,0.859511,2.01039
Cluster,26,2180,100,329641,283400,0.859723,2.08527
Cluster,27,2260,100,329641,283384,0.859675,2.13364
Cluster,28,2340,100,329641,283438,0.859838,2.21679
Cluster,29,2420,100,329641,283522,0.860093,2.29701
Cluster,30,100,180,329641,255322,0.774546,0.164838
Cluster,31,180,180,329641,268678,0.815062,0.214933
Cluster,32,260,180,329641,274558,0.8329,0.256653
Cluster,33,340,180,329641,277064,0.840502,0.303135
Cluster,34,420,180,329641,279110,0.846709,0.343507
Cluster,35,500,180,329641,280238,0.850131,0.384037
Cluster,36,580,180,329641,281158,0.852922,0.435496
Cluster,37,660,180,329641,281436,0.853765,0.465239
Cluster,38,740,180,329641,282068,0.855682,0.510404
Cluster,39,820,180,329641,282350,0.856538,0.540013
Cluster,40,900,180,329641,282578,0.85723,0.601156
Cluster,41,980,180,329641,282814,0.857945,0.646988
Cluster,42,1060,180,329641,282880,0.858146,0.73136
Cluster,43,1140,180,329641,283068,0.858716,0.798535
Cluster,44,1220,180,329641,283178,0.85905,0.87896
Cluster,45,1300,180,329641,283250,0.859268,0.969894
Cluster,46,1380,180,329641,283364,0.859614,1.0495
Cluster,47,1460,180,329641,283382,0.859669,1.14735
Cluster,48,1540,180,329641,283502,0.860033,1.19834
Cluster,49,1620,180,329641,283468,0.859929,1.21093
Cluster,50,1700,180,329641,283548,0.860172,1.29466
Cluster,51,1780,180,329641,283594,0.860312,1.34285
Cluster,52,1860,180,329641,283624,0.860403,1.42097
Cluster,53,1940,180,329641,283664,0.860524,1.46029
Cluster,54,2020,180,329641,283622,0.860397,1.53819
Cluster,55,2100,180,329641,283662,0.860518,1.59731
Cluster,56,2180,180,329641,283714,0.860676,1.64582
Cluster,57,2260,180,329641,283710,0.860664,1.69954
Cluster,58,2340,180,329641,283720,0.860694,1.75492
Cluster,59,2420,180,329641,283716,0.860682,1.80064
Cluster,60,100,260,329641,259540,0.787341,0.150158
Cluster,61,180,260,329641,271614,0.823969,0.191487
Cluster,62,260,260,329641,276574,0.839016,0.235469
Cluster,63,340,260,329641,278826,0.845847,0.270614
Cluster,64,420,260,329641,280280,0.850258,0.313658
Cluster,65,500,260,329641,281106,0.852764,0.340587
Cluster,66,580,260,329641,281786,0.854827,0.376377
Cluster,67,660,260,329641,282222,0.85615,0.402187
Cluster,68,740,260,329641,282372,0.856605,0.44321
Cluster,69,820,260,329641,282674,0.857521,0.472525
Cluster,70,900,260,329641,283042,0.858637,0.516098
Cluster,71,980,260,329641,283092,0.858789,0.572088
Cluster,72,1060,260,329641,283256,0.859286,0.629051
Cluster,73,1140,260,329641,283348,0.859565,0.686228
Cluster,74,1220,260,329641,283396,0.859711,0.770717
Cluster,75,1300,260,329641,283512,0.860063,0.835489
Cluster,76,1380,260,329641,283568,0.860233,0.913851
Cluster,77,1460,260,329641,283590,0.8603,0.988057
Cluster,78,1540,260,329641,283644,0.860463,1.05015
Cluster,79,1620,260,329641,283644,0.860463,1.04454
Cluster,80,1700,260,329641,283688,0.860597,1.1075
Cluster,81,1780,260,329641,283712,0.86067,1.17266
Cluster,82,1860,260,329641,283740,0.860755,1.22932
Cluster,83,1940,260,329641,283752,0.860791,1.29677
Cluster,84,2020,260,329641,283758,0.860809,1.34577
Cluster,85,2100,260,329641,283746,0.860773,1.39172
Cluster,86,2180,260,329641,283770,0.860846,1.27908
Cluster,87,2260,260,329641,283768,0.86084,0.792689
Cluster,88,2340,260,329641,283776,0.860864,0.818052
Cluster,89,2420,260,329641,283774,0.860858,0.849961
Cluster,90,100,340,329641,262856,0.797401,0.116875
Cluster,91,180,340,329641,273232,0.828877,0.153889
Cluster,92,260,340,329641,277446,0.841661,0.199076
Cluster,93,340,340,329641,279652,0.848353,0.230237
Cluster,94,420,340,329641,280876,0.852066,0.262787
Cluster,95,500,340,329641,281782,0.854815,0.283607
Cluster,96,580,340,329641,282196,0.856071,0.315933
Cluster,97,660,340,329641,282534,0.857096,0.335385
Cluster,98,740,340,329641,282902,0.858212,0.356746
Cluster,99,820,340,329641,283160,0.858995,0.374029
Cluster,100,900,340,329641,283296,0.859408,0.393887
Cluster,101,980,340,329641,283392,0.859699,0.422838
Cluster,102,1060,340,329641,283504,0.860039,0.432615
Cluster,103,1140,340,329641,283552,0.860184,0.445371
Cluster,104,1220,340,329641,283600,0.86033,0.482671
Cluster,105,1300,340,329641,283668,0.860536,0.48457
Cluster,106,1380,340,329641,283674,0.860554,0.508693
Cluster,107,1460,340,329641,283718,0.860688,0.531798
Cluster,108,1540,340,329641,283750,0.860785,0.549188
Cluster,109,1620,340,329641,283752,0.860791,0.5413
Cluster,110,1700,340,329641,283760,0.860815,0.55993
Cluster,111,1780,340,329641,283770,0.860846,0.575599
Cluster,112,1860,340,329641,283764,0.860827,0.596479
Cluster,113,1940,340,329641,283772,0.860852,0.615604
Cluster,114,2020,340,329641,283772,0.860852,0.641657
Cluster,115,2100,340,329641,283778,0.86087,0.659588
Cluster,116,2180,340,329641,283782,0.860882,0.68004
Cluster,117,2260,340,329641,283784,0.860888,0.702517
Cluster,118,2340,340,329641,283786,0.860894,0.716787
Cluster,119,2420,340,329641,283784,0.860888,0.751465
Cluster,120,100,420,329641,264470,0.802297,0.111517
Cluster,121,180,420,329641,274834,0.833737,0.146203
Cluster,122,260,420,329641,278380,0.844494,0.181526
Cluster,123,340,420,329641,280346,0.850459,0.2166
Cluster,124,420,420,329641,281372,0.853571,0.236996
Cluster,125,500,420,329641,282032,0.855573,0.264841
Cluster,126,580,420,329641,282632,0.857393,0.287255
Cluster,127,660,420,329641,282944,0.85834,0.303769
Cluster,128,740,420,329641,283056,0.85868,0.324222
Cluster,129,820,420,329641,283358,0.859596,0.337624
Cluster,130,900,420,329641,283430,0.859814,0.350151
Cluster,131,980,420,329641,283496,0.860014,0.373692
Cluster,132,1060,420,329641,283598,0.860324,0.388302
Cluster,133,1140,420,329641,283622,0.860397,0.412672
Cluster,134,1220,420,329641,283650,0.860482,0.419011
Cluster,135,1300,420,329641,283738,0.860749,0.439691
Cluster,136,1380,420,329641,283718,0.860688,0.453429
Cluster,137,1460,420,329641,283752,0.860791,0.48033
Cluster,138,1540,420,329641,283750,0.860785,0.500762
Cluster,139,1620,420,329641,283776,0.860864,0.518338
Cluster,140,1700,420,329641,283764,0.860827,0.545322
Cluster,141,1780,420,329641,283774,0.860858,0.550009
Cluster,142,1860,420,329641,283782,0.860882,0.572268
Cluster,143,1940,420,329641,283776,0.860864,0.588779
Cluster,144,2020,420,329641,283786,0.860894,0.62175
Cluster,145,2100,420,329641,283784,0.860888,0.637572
Cluster,146,2180,420,329641,283786,0.860894,0.654755
Cluster,147,2260,420,329641,283784,0.860888,0.67934
Cluster,148,2340,420,329641,283780,0.860876,0.711679
Cluster,149,2420,420,329641,283784,0.860888,0.72476
Cluster,150,100,500,329641,265972,0.806854,0.110745
Cluster,151,180,500,329641,275408,0.835479,0.145978
Cluster,152,260,500,329641,279008,0.8464,0.175409
Cluster,153,340,500,329641,280730,0.851623,0.20906
Cluster,154,420,500,329641,281644,0.854396,0.233498
Cluster,155,500,500,329641,282426,0.856768,0.255777
Cluster,156,580,500,329641,282676,0.857527,0.278386
