alg,run,k,c,tomatch,success,rate,time
Random,0,350,100,6593,0,0,0.000429
Random,1,350,100,6593,4,0.000606704,0.000424
Random,2,350,100,6593,6,0.000910056,0.000399
Random,3,350,100,6593,0,0,0.000399
Random,4,350,100,6593,2,0.000303352,0.000399
Random,5,350,100,6593,4,0.000606704,0.000395
Random,6,350,100,6593,0,0,0.000397
Random,7,350,100,6593,2,0.000303352,0.000398
Random,8,350,100,6593,0,0,0.000406
Random,9,350,100,6593,4,0.000606704,0.000401
Random,10,350,100,6593,4,0.000606704,0.000402
Random,11,350,100,6593,8,0.00121341,0.000401
Random,12,350,100,6593,2,0.000303352,0.000393
Random,13,350,100,6593,0,0,0.000398
Random,14,350,100,6593,4,0.000606704,0.000398
Random,15,350,100,6593,0,0,0.000422
Random,16,350,100,6593,4,0.000606704,0.000403
Random,17,350,100,6593,0,0,0.000407
Random,18,350,100,6593,0,0,0.000395
Random,19,350,100,6593,8,0.00121341,0.000399
Random,20,350,100,6593,2,0.000303352,0.000399
Random,21,350,100,6593,4,0.000606704,0.000396
Random,22,350,100,6593,4,0.000606704,0.000417
Random,23,350,100,6593,2,0.000303352,0.0004
Random,24,350,100,6593,2,0.000303352,0.000396
Random,25,350,100,6593,4,0.000606704,0.000395
Random,26,350,100,6593,2,0.000303352,0.000397
Random,27,350,100,6593,8,0.00121341,0.000397
Random,28,350,100,6593,4,0.000606704,0.000398
Random,29,350,100,6593,2,0.000303352,0.000412
RandomK,0,350,100,6593,826,0.125284,0.009542
RandomK,1,350,100,6593,798,0.121037,0.009528
RandomK,2,350,100,6593,812,0.123161,0.009617
RandomK,3,350,100,6593,810,0.122858,0.00939
RandomK,4,350,100,6593,828,0.125588,0.009377
RandomK,5,350,100,6593,836,0.126801,0.010149
RandomK,6,350,100,6593,878,0.133172,0.009987
RandomK,7,350,100,6593,826,0.125284,0.010266
RandomK,8,350,100,6593,818,0.124071,0.010198
RandomK,9,350,100,6593,808,0.122554,0.010031
RandomK,10,350,100,6593,806,0.122251,0.010867
RandomK,11,350,100,6593,876,0.132868,0.009839
RandomK,12,350,100,6593,838,0.127105,0.009621
RandomK,13,350,100,6593,834,0.126498,0.009687
RandomK,14,350,100,6593,900,0.136508,0.009643
RandomK,15,350,100,6593,872,0.132261,0.010024
RandomK,16,350,100,6593,810,0.122858,0.009672
RandomK,17,350,100,6593,842,0.127711,0.009664
RandomK,18,350,100,6593,806,0.122251,0.009653
RandomK,19,350,100,6593,788,0.119521,0.009865
RandomK,20,350,100,6593,780,0.118307,0.009636
RandomK,21,350,100,6593,798,0.121037,0.009701
RandomK,22,350,100,6593,840,0.127408,0.009729
RandomK,23,350,100,6593,824,0.124981,0.00951
RandomK,24,350,100,6593,834,0.126498,0.00989
RandomK,25,350,100,6593,810,0.122858,0.012141
RandomK,26,350,100,6593,828,0.125588,0.012743
RandomK,27,350,100,6593,800,0.121341,0.008873
RandomK,28,350,100,6593,798,0.121037,0.012835
RandomK,29,350,100,6593,826,0.125284,0.008848
Weighted,0,350,100,6593,1176,0.178371,0.012752
Weighted,1,350,100,6593,1118,0.169574,0.009751
Weighted,2,350,100,6593,1116,0.16927,0.012964
Weighted,3,350,100,6593,1104,0.16745,0.009404
Weighted,4,350,100,6593,1136,0.172304,0.012149
Weighted,5,350,100,6593,1088,0.165024,0.009652
Weighted,6,350,100,6593,1142,0.173214,0.013006
Weighted,7,350,100,6593,1062,0.16108,0.009162
Weighted,8,350,100,6593,1114,0.168967,0.013208
Weighted,9,350,100,6593,1136,0.172304,0.009251
Weighted,10,350,100,6593,1098,0.16654,0.012963
Weighted,11,350,100,6593,1112,0.168664,0.009453
Weighted,12,350,100,6593,1060,0.160777,0.013268
Weighted,13,350,100,6593,1114,0.168967,0.010177
