,10,40,70,100,130,160,190,220,250,280,310,340,370,400,430,460,490,520,550,580,610,640,670,700,730,760,790,820,850,880
10,0.0802973185,0.23933855,0.347708724,0.4045937688,0.4496426473,0.4836697968,0.5050487809,0.5316045638,0.5448452691,0.5630055182,0.5707731548,0.5724008105,0.5843845023,0.5812401396,0.5960719241,0.59551718,0.602285058,0.6061316902,0.6076483971,0.6025447514,0.612753262,0.6185591772,0.6175606378,0.6210012704,0.6217401164,0.6283238925,0.625068581,0.6299881248,0.6323558458,0.634685771
40,0.2539106411,0.5459559765,0.6703039998,0.7305175092,0.7635095428,0.7903237999,0.8009017335,0.8258676563,0.8351142041,0.8403665944,0.8495387699,0.850944528,0.8570101366,0.854051095,0.8663676332,0.8622991034,0.8699557912,0.872989205,0.8767614649,0.8732111027,0.8803861994,0.8783891207,0.8809409435,0.8817175853,0.8858226916,0.8841950358,0.8855264217,0.8863774357,0.8883745144,0.8861555381
70,0.364463215,0.6769243524,0.7872916052,0.834190037,0.8601544993,0.8808299947,0.8881904126,0.9037244665,0.9097900751,0.9174833394,0.9211080739,0.9222175621,0.924103692,0.9269883613,0.9324626493,0.9293926588,0.9370493466,0.9374931419,0.9361617561,0.9384916813,0.94237489,0.9419676712,0.9399705925,0.9431893275,0.943595327,0.9444097645,0.946517792,0.9450010851,0.9481820243,0.9482563966
100,0.4499023407,0.7559638039,0.8511664257,0.8837512406,0.9032428755,0.919221944,0.9287635425,0.9388989,0.9387879512,0.9473310103,0.9541366841,0.9537672611,0.9566519304,0.9574285721,0.9623481159,0.9596841251,0.9643451947,0.9654912594,0.966009427,0.9648255665,0.9684137245,0.9678211846,0.9683027757,0.9705217521,0.9712240215,0.9712618173,0.9704473798,0.9714093426,0.9721116121,0.9741464866
130,0.5134808912,0.8043045704,0.8841950358,0.9134148096,0.9312787888,0.9430771594,0.9502900519,0.9594256509,0.9618665249,0.9658241059,0.9704851755,0.9706692774,0.9722603566,0.9721859844,0.9777712211,0.9770311559,0.9779187464,0.9790282346,0.979287928,0.9800645698,0.9811362622,0.9815069044,0.9827273414,0.9826163926,0.9840221507,0.9843549972,0.9846134714,0.9840953038,0.9842806249,0.983984355
160,0.5623032487,0.843695059,0.9097534985,0.9354216909,0.95199208,0.959610972,0.965158413,0.9698926357,0.9733320491,0.9762910907,0.9798426721,0.9797682998,0.9805449416,0.9826895457,0.9855754342,0.9847987925,0.9866105501,0.9866105501,0.9883857313,0.9879053594,0.9882016294,0.9894220664,0.9901243358,0.9901609124,0.9908266053,0.9901609124,0.9905315546,0.9898280659,0.9903462335,0.9901987081
190,0.6010280444,0.866478582,0.9298364541,0.9479235502,0.9617555761,0.9682649799,0.9738502167,0.9804705693,0.9785478628,0.9838368296,0.9853901131,0.9859448572,0.9868324478,0.9889782711,0.9898658617,0.9901987081,0.9910119264,0.9916776193,0.9921957869,0.9933052751,0.9927139544,0.9923433122,0.9927139544,0.9931577497,0.9936746981,0.9934162239,0.9940819168,0.9934905962,0.9936746981,0.9932309028
220,0.6381617609,0.8844169335,0.9446316621,0.9575029444,0.9690050451,0.97599604,0.981174058,0.983614932,0.9843915737,0.9873140388,0.9894952194,0.9905315546,0.9917141958,0.9919738892,0.9922323634,0.9938965957,0.9943038144,0.9947841863,0.9953767261,0.9954876749,0.9950438796,0.9955242515,0.9945622886,0.9957827256,0.9958205214,0.9957095726,0.9964862143,0.9959314702,0.9952279815,0.9958936745
250,0.66782533,0.9005801038,0.9540623118,0.967229864,0.973628319,0.9816544298,0.9849463178,0.986055806,0.9894220664,0.9913081963,0.9919738892,0.9938600192,0.9946000844,0.9948585585,0.9961533678,0.9961155721,0.996893433,0.9964496378,0.9965605866,0.9970043819,0.9969300096,0.9970409584,0.996893433,0.9971519072,0.9968556373,0.9974481771,0.9971519072,0.9969300096,0.9969300096,0.9966337397
280,0.6941592152,0.912823489,0.9600547673,0.9722603566,0.979953621,0.9857229596,0.9882382059,0.9890514242,0.9918995169,0.993601545,0.9940453403,0.9958570979,0.9963008932,0.9967824842,0.9970043819,0.9979651255,0.9971519072,0.9972994326,0.9979651255,0.9980760743,0.9981138701,0.9977432279,0.9974847537,0.9976700748,0.9982248189,0.997559126,0.9981870231,0.9980760743,0.9979651255,0.9981138701
310,0.7197542545,0.9276174777,0.9671189152,0.9750706537,0.9828004945,0.9871287177,0.9910119264,0.9931943262,0.9942294422,0.9963752655,0.9967081119,0.9971884838,0.9974103814,0.997632279,0.9976700748,0.9978919724,0.9977810236,0.998297972,0.9980760743,0.9984832931,0.9984832931,0.9981138701,0.9985576653,0.9987051907,0.9984089208,0.9985198696,0.9988161395,0.9985198696,0.9983357677,0.998779563
