alg,run,k,c,tomatch,success,rate,time
Cluster,0,5,5,6593,110,0.0166844,0.001449
Cluster,1,15,5,6593,348,0.0527833,0.001624
Cluster,2,25,5,6593,522,0.0791749,0.001859
Cluster,3,35,5,6593,722,0.10951,0.002084
Cluster,4,45,5,6593,958,0.145306,0.00236
Cluster,5,55,5,6593,1078,0.163507,0.002559
Cluster,6,65,5,6593,1170,0.177461,0.002859
Cluster,7,75,5,6593,1182,0.179281,0.003118
Cluster,8,85,5,6593,1472,0.223267,0.003346
Cluster,9,95,5,6593,1524,0.231154,0.003481
Cluster,10,105,5,6593,1562,0.236918,0.003597
Cluster,11,115,5,6593,1732,0.262703,0.003796
Cluster,12,125,5,6593,1774,0.269073,0.004073
Cluster,13,135,5,6593,1856,0.281511,0.004137
Cluster,14,145,5,6593,1966,0.298195,0.004344
Cluster,15,155,5,6593,2004,0.303959,0.004524
Cluster,16,165,5,6593,2148,0.3258,0.004709
Cluster,17,175,5,6593,2176,0.330047,0.005006
Cluster,18,185,5,6593,2290,0.347338,0.005107
Cluster,19,195,5,6593,2376,0.360382,0.005358
Cluster,20,205,5,6593,2382,0.361292,0.00557
Cluster,21,215,5,6593,2482,0.37646,0.005752
Cluster,22,225,5,6593,2502,0.379493,0.005916
Cluster,23,235,5,6593,2492,0.377977,0.006132
Cluster,24,245,5,6593,2598,0.394054,0.006352
Cluster,25,255,5,6593,2586,0.392234,0.006598
Cluster,26,265,5,6593,2732,0.414379,0.006745
Cluster,27,275,5,6593,2768,0.419839,0.006974
Cluster,28,285,5,6593,2750,0.417109,0.007274
Cluster,29,295,5,6593,2774,0.420749,0.007451
Cluster,30,5,15,6593,364,0.0552101,0.001341
Cluster,31,15,15,6593,828,0.125588,0.001553
Cluster,32,25,15,6593,1282,0.194449,0.001789
Cluster,33,35,15,6593,1656,0.251175,0.00204
Cluster,34,45,15,6593,1846,0.279994,0.002278
Cluster,35,55,15,6593,2092,0.317306,0.0025
Cluster,36,65,15,6593,2290,0.347338,0.00274
Cluster,37,75,15,6593,2440,0.370089,0.002961
Cluster,38,85,15,6593,2654,0.402548,0.003126
