alg,run,k,c,tomatch,success,rate,time
Distribution,0,100,100,659283,39180,0.0594282,0.59893
Distribution,1,200,100,659283,66544,0.100934,0.774698
Distribution,2,300,100,659283,91348,0.138557,0.877716
Distribution,3,400,100,659283,119432,0.181154,1.02348
Distribution,4,500,100,659283,144308,0.218886,1.14696
Distribution,5,600,100,659283,170600,0.258766,1.30457
Distribution,6,700,100,659283,193998,0.294256,1.48998
Distribution,7,800,100,659283,220926,0.3351,1.74316
Distribution,8,900,100,659283,246004,0.373139,2.1051
Distribution,9,1000,100,659283,270732,0.410646,2.52718
Distribution,10,1100,100,659283,294746,0.447071,3.0178
Distribution,11,1200,100,659283,313870,0.476078,3.57608
Distribution,12,1300,100,659283,335288,0.508565,4.04918
Distribution,13,1400,100,659283,356588,0.540872,4.51166
Distribution,14,1500,100,659283,374690,0.56833,4.96032
Distribution,15,1600,100,659283,394194,0.597913,5.32672
Distribution,16,1700,100,659283,413550,0.627272,5.52901
Distribution,17,1800,100,659283,435758,0.660957,5.64445
Distribution,18,1900,100,659283,451956,0.685527,5.73387
Distribution,19,2000,100,659283,470896,0.714255,5.81018
Distribution,20,2100,100,659283,484494,0.73488,5.86619
Distribution,21,2200,100,659283,497818,0.75509,5.85679
Distribution,22,2300,100,659283,510036,0.773622,5.8478
Distribution,23,2400,100,659283,522414,0.792397,5.83107
Distribution,24,2500,100,659283,531774,0.806594,5.77731
Distribution,25,2600,100,659283,537968,0.815989,5.79816
Distribution,26,2700,100,659283,545854,0.827951,5.71494
Distribution,27,2800,100,659283,549344,0.833245,5.66947
Distribution,28,2900,100,659283,555796,0.843031,3.47556
Distribution,29,3000,100,659283,559988,0.849389,3.13405
Distribution,30,3100,100,659283,563894,0.855314,3.11882
Distribution,31,3200,100,659283,565548,0.857823,2.33743
Distribution,32,3300,100,659283,566962,0.859968,2.04315
Distribution,33,3400,100,659283,568220,0.861876,2.04448
Distribution,34,3500,100,659283,569220,0.863393,2.04979
Distribution,35,3600,100,659283,570984,0.866068,2.03263
Distribution,36,3700,100,659283,570984,0.866068,1.98739
Distribution,37,3800,100,659283,570984,0.866068,1.97936
Distribution,38,3900,100,659283,570984,0.866068,1.98257
Distribution,39,4000,100,659283,570984,0.866068,1.99411
Distribution,40,4100,100,659283,570984,0.866068,1.99404
Distribution,41,4200,100,659283,570984,0.866068,1.99909
Distribution,42,4300,100,659283,570984,0.866068,1.99997
Distribution,43,4400,100,659283,570984,0.866068,2.00734
Distribution,44,4500,100,659283,570984,0.866068,2.00852
Distribution,45,4600,100,659283,570984,0.866068,2.01137
Distribution,46,4700,100,659283,570984,0.866068,2.01447
Distribution,47,4800,100,659283,570984,0.866068,2.01523
Distribution,48,4900,100,659283,570984,0.866068,2.02679
Distribution,49,5000,100,659283,570984,0.866068,2.01576
