alg,run,k,c,tomatch,success,rate,time
Cluster,0,5,5,32964,552,0.0167455,0.005701
Cluster,1,25,5,32964,2674,0.0811188,0.007447
Cluster,2,45,5,32964,4530,0.137423,0.009375
Cluster,3,65,5,32964,5800,0.17595,0.011445
Cluster,4,85,5,32964,6960,0.211139,0.013612
Cluster,5,105,5,32964,8144,0.247057,0.014656
Cluster,6,125,5,32964,9278,0.281459,0.016712
Cluster,7,145,5,32964,10072,0.305545,0.018259
Cluster,8,165,5,32964,10792,0.327387,0.019899
Cluster,9,185,5,32964,11634,0.35293,0.021916
Cluster,10,205,5,32964,12224,0.370829,0.025327
Cluster,11,225,5,32964,12866,0.390305,0.027016
Cluster,12,245,5,32964,13292,0.403228,0.027132
Cluster,13,265,5,32964,13904,0.421793,0.03057
Cluster,14,285,5,32964,14646,0.444303,0.032636
Cluster,15,305,5,32964,14696,0.44582,0.032965
Cluster,16,325,5,32964,15130,0.458986,0.036612
Cluster,17,345,5,32964,15566,0.472212,0.036794
Cluster,18,365,5,32964,15924,0.483072,0.040209
Cluster,19,385,5,32964,16522,0.501213,0.042128
Cluster,20,405,5,32964,16660,0.5054,0.040315
Cluster,21,425,5,32964,16848,0.511103,0.043191
Cluster,22,445,5,32964,17198,0.521721,0.043188
Cluster,23,465,5,32964,17496,0.530761,0.04509
Cluster,24,485,5,32964,17810,0.540286,0.046135
Cluster,25,505,5,32964,18112,0.549448,0.047782
Cluster,26,525,5,32964,18264,0.554059,0.054484
Cluster,27,545,5,32964,18378,0.557517,0.053024
Cluster,28,565,5,32964,18664,0.566193,0.058258
Cluster,29,585,5,32964,19078,0.578753,0.055141
Cluster,30,5,25,32964,2484,0.0753549,0.006351
Cluster,31,25,25,32964,9082,0.275513,0.007934
Cluster,32,45,25,32964,12594,0.382053,0.009753
Cluster,33,65,25,32964,15108,0.458318,0.010807
Cluster,34,85,25,32964,16660,0.5054,0.012937
Cluster,35,105,25,32964,17946,0.544412,0.014062
Cluster,36,125,25,32964,18900,0.573353,0.015774
Cluster,37,145,25,32964,19748,0.599078,0.0164
Cluster,38,165,25,32964,20344,0.617158,0.017683
Cluster,39,185,25,32964,21218,0.643672,0.018742
Cluster,40,205,25,32964,21638,0.656413,0.019839
