alg,run,k,c,tomatch,success,rate,time
Distribution,0,50,100,65928,12632,0.191603,0.036985
Distribution,1,90,100,65928,22374,0.33937,0.042358
Distribution,2,130,100,65928,30378,0.460775,0.047116
Distribution,3,170,100,65928,38210,0.579572,0.048212
Distribution,4,210,100,65928,45262,0.686537,0.051028
Distribution,5,250,100,65928,49752,0.754641,0.051005
Distribution,6,290,100,65928,52762,0.800297,0.051581
Distribution,7,330,100,65928,53544,0.812159,0.051393
Distribution,8,370,100,65928,54036,0.819621,0.051714
Distribution,9,410,100,65928,54074,0.820198,0.051535
Distribution,10,450,100,65928,54074,0.820198,0.051993
Distribution,11,490,100,65928,54074,0.820198,0.050524
Distribution,12,530,100,65928,54074,0.820198,0.049362
Distribution,13,570,100,65928,54074,0.820198,0.050135
Distribution,14,610,100,65928,54074,0.820198,0.056147
Distribution,15,650,100,65928,54074,0.820198,0.071207
Distribution,16,690,100,65928,54074,0.820198,0.066076
Distribution,17,730,100,65928,54074,0.820198,0.064276
Distribution,18,770,100,65928,54074,0.820198,0.058414
Distribution,19,810,100,65928,54074,0.820198,0.058416
Distribution,20,850,100,65928,54074,0.820198,0.062921
Distribution,21,890,100,65928,54074,0.820198,0.061696
Distribution,22,930,100,65928,54074,0.820198,0.063294
Distribution,23,970,100,65928,54074,0.820198,0.062018
Distribution,24,1010,100,65928,54074,0.820198,0.063156
Distribution,25,1050,100,65928,54074,0.820198,0.061959
Distribution,26,1090,100,65928,54074,0.820198,0.061546
Distribution,27,1130,100,65928,54074,0.820198,0.061139
Distribution,28,1170,100,65928,54074,0.820198,0.053937
Distribution,29,1210,100,65928,54074,0.820198,0.040888
Distribution,30,1250,100,65928,54074,0.820198,0.038495
Distribution,31,1290,100,65928,54074,0.820198,0.038077
Distribution,32,1330,100,65928,54074,0.820198,0.038186
Distribution,33,1370,100,65928,54074,0.820198,0.037037
Distribution,34,1410,100,65928,54074,0.820198,0.036927
Distribution,35,1450,100,65928,54074,0.820198,0.03599
Distribution,36,1490,100,65928,54074,0.820198,0.035651
Distribution,37,1530,100,65928,54074,0.820198,0.035912
Distribution,38,1570,100,65928,54074,0.820198,0.037297
Distribution,39,1610,100,65928,54074,0.820198,0.038256
Distribution,40,1650,100,65928,54074,0.820198,0.036564
Distribution,41,1690,100,65928,54074,0.820198,0.037055
Distribution,42,1730,100,65928,54074,0.820198,0.038194
Distribution,43,1770,100,65928,54074,0.820198,0.039251
Distribution,44,1810,100,65928,54074,0.820198,0.039387
Distribution,45,1850,100,65928,54074,0.820198,0.0371
Distribution,46,1890,100,65928,54074,0.820198,0.036975
Distribution,47,1930,100,65928,54074,0.820198,0.037792
Distribution,48,1970,100,65928,54074,0.820198,0.037167
Distribution,49,2010,100,65928,54074,0.820198,0.037399
