alg,run,k,c,tomatch,success,rate,time
Distribution,0,5,100,32964,1384,0.0419852,0.010037
Distribution,1,25,100,32964,5704,0.173037,0.011638
Distribution,2,45,100,32964,10276,0.311734,0.012863
Distribution,3,65,100,32964,14400,0.43684,0.013606
Distribution,4,85,100,32964,18156,0.550783,0.013668
Distribution,5,105,100,32964,21238,0.644279,0.013618
Distribution,6,125,100,32964,23604,0.716054,0.013697
Distribution,7,145,100,32964,24910,0.755673,0.013637
Distribution,8,165,100,32964,25390,0.770234,0.013302
Distribution,9,185,100,32964,25566,0.775573,0.013641
Distribution,10,205,100,32964,25696,0.779517,0.013563
Distribution,11,225,100,32964,25696,0.779517,0.013716
Distribution,12,245,100,32964,25696,0.779517,0.013822
Distribution,13,265,100,32964,25696,0.779517,0.014308
Distribution,14,285,100,32964,25696,0.779517,0.01379
Distribution,15,305,100,32964,25696,0.779517,0.01401
Distribution,16,325,100,32964,25696,0.779517,0.013808
Distribution,17,345,100,32964,25696,0.779517,0.013994
Distribution,18,365,100,32964,25696,0.779517,0.01393
Distribution,19,385,100,32964,25696,0.779517,0.014174
Distribution,20,405,100,32964,25696,0.779517,0.014047
Distribution,21,425,100,32964,25696,0.779517,0.013913
Distribution,22,445,100,32964,25696,0.779517,0.013889
Distribution,23,465,100,32964,25696,0.779517,0.014058
Distribution,24,485,100,32964,25696,0.779517,0.014017
Distribution,25,505,100,32964,25696,0.779517,0.014081
Distribution,26,525,100,32964,25696,0.779517,0.014379
Distribution,27,545,100,32964,25696,0.779517,0.013962
Distribution,28,565,100,32964,25696,0.779517,0.013972
Distribution,29,585,100,32964,25696,0.779517,0.014026
Distribution,30,605,100,32964,25696,0.779517,0.013938
Distribution,31,625,100,32964,25696,0.779517,0.013959
Distribution,32,645,100,32964,25696,0.779517,0.013945
Distribution,33,665,100,32964,25696,0.779517,0.013869
Distribution,34,685,100,32964,25696,0.779517,0.013821
Distribution,35,705,100,32964,25696,0.779517,0.013981
Distribution,36,725,100,32964,25696,0.779517,0.013804
Distribution,37,745,100,32964,25696,0.779517,0.013902
Distribution,38,765,100,32964,25696,0.779517,0.013811
Distribution,39,785,100,32964,25696,0.779517,0.014022
Distribution,40,805,100,32964,25696,0.779517,0.013821
Distribution,41,825,100,32964,25696,0.779517,0.014445
Distribution,42,845,100,32964,25696,0.779517,0.013723
Distribution,43,865,100,32964,25696,0.779517,0.014087
Distribution,44,885,100,32964,25696,0.779517,0.013873
Distribution,45,905,100,32964,25696,0.779517,0.014118
Distribution,46,925,100,32964,25696,0.779517,0.013967
Distribution,47,945,100,32964,25696,0.779517,0.01393
Distribution,48,965,100,32964,25696,0.779517,0.013896
Distribution,49,985,100,32964,25696,0.779517,0.013995
