alg,run,k,c,tomatch,success,rate,time
Cluster,0,5,5,32964,662,0.0200825,0.005796
Cluster,1,25,5,32964,2644,0.0802087,0.007502
Cluster,2,45,5,32964,4470,0.135602,0.009486
Cluster,3,65,5,32964,5900,0.178983,0.011472
Cluster,4,85,5,32964,7182,0.217874,0.013416
Cluster,5,105,5,32964,8186,0.248332,0.015663
Cluster,6,125,5,32964,9316,0.282611,0.017057
Cluster,7,145,5,32964,10144,0.30773,0.01954
Cluster,8,165,5,32964,10868,0.329693,0.021552
Cluster,9,185,5,32964,11528,0.349715,0.023068
Cluster,10,205,5,32964,12268,0.372164,0.025202
Cluster,11,225,5,32964,12840,0.389516,0.027159
Cluster,12,245,5,32964,13348,0.404927,0.029135
Cluster,13,265,5,32964,13920,0.422279,0.030546
Cluster,14,285,5,32964,14420,0.437447,0.032864
Cluster,15,305,5,32964,14622,0.443575,0.034813
Cluster,16,325,5,32964,15302,0.464203,0.036701
Cluster,17,345,5,32964,15722,0.476945,0.033972
Cluster,18,365,5,32964,15888,0.48198,0.037279
Cluster,19,385,5,32964,16398,0.497452,0.042478
Cluster,20,405,5,32964,16760,0.508433,0.039736
Cluster,21,425,5,32964,16952,0.514258,0.044106
Cluster,22,445,5,32964,17370,0.526938,0.048023
Cluster,23,465,5,32964,17530,0.531792,0.045538
Cluster,24,485,5,32964,17808,0.540226,0.046352
Cluster,25,505,5,32964,17926,0.543805,0.053442
Cluster,26,525,5,32964,18254,0.553756,0.055226
Cluster,27,545,5,32964,18522,0.561886,0.053603
Cluster,28,565,5,32964,18554,0.562856,0.054746
Cluster,29,585,5,32964,18770,0.569409,0.055952
Cluster,30,5,25,32964,2684,0.0814222,0.00565
Cluster,31,25,25,32964,9026,0.273814,0.008257
Cluster,32,45,25,32964,12574,0.381446,0.009156
Cluster,33,65,25,32964,15016,0.455527,0.011355
Cluster,34,85,25,32964,16826,0.510436,0.012643
Cluster,35,105,25,32964,18022,0.546718,0.014386
Cluster,36,125,25,32964,19036,0.577478,0.015192
Cluster,37,145,25,32964,19726,0.59841,0.016462
Cluster,38,165,25,32964,20496,0.621769,0.018642
Cluster,39,185,25,32964,21030,0.637969,0.019031
Cluster,40,205,25,32964,21596,0.655139,0.020319
Cluster,41,225,25,32964,21904,0.664482,0.02225
Cluster,42,245,25,32964,22204,0.673583,0.023236
Cluster,43,265,25,32964,22752,0.690207,0.025092
Cluster,44,285,25,32964,22902,0.694758,0.026279
Cluster,45,305,25,32964,23138,0.701917,0.027799
Cluster,46,325,25,32964,23326,0.70762,0.029744
Cluster,47,345,25,32964,23628,0.716782,0.029912
Cluster,48,365,25,32964,23752,0.720544,0.031354
Cluster,49,385,25,32964,23948,0.72649,0.032616
Cluster,50,405,25,32964,24078,0.730433,0.036007
Cluster,51,425,25,32964,24124,0.731829,0.035854
Cluster,52,445,25,32964,24228,0.734984,0.036636
Cluster,53,465,25,32964,24294,0.736986,0.038179
Cluster,54,485,25,32964,24522,0.743902,0.042125
Cluster,55,505,25,32964,24502,0.743296,0.041069
Cluster,56,525,25,32964,24644,0.747603,0.041165
Cluster,57,545,25,32964,24744,0.750637,0.04401
Cluster,58,565,25,32964,24746,0.750698,0.04402
Cluster,59,585,25,32964,24852,0.753913,0.044966
Cluster,60,5,45,32964,4182,0.126866,0.00514
Cluster,61,25,45,32964,12264,0.372042,0.007165
Cluster,62,45,45,32964,16182,0.490899,0.008875
Cluster,63,65,45,32964,18260,0.553938,0.010527
Cluster,64,85,45,32964,20014,0.607147,0.012215
Cluster,65,105,45,32964,20980,0.636452,0.01351
Cluster,66,125,45,32964,21790,0.661024,0.015011
Cluster,67,145,45,32964,22558,0.684322,0.015945
Cluster,68,165,45,32964,22838,0.692816,0.017855
Cluster,69,185,45,32964,23336,0.707924,0.018324
Cluster,70,205,45,32964,23520,0.713506,0.019715
Cluster,71,225,45,32964,24028,0.728916,0.021246
Cluster,72,245,45,32964,24086,0.730676,0.023388
Cluster,73,265,45,32964,24374,0.739413,0.022703
Cluster,74,285,45,32964,24508,0.743478,0.024151
Cluster,75,305,45,32964,24526,0.744024,0.026102
Cluster,76,325,45,32964,24782,0.75179,0.027356
Cluster,77,345,45,32964,24840,0.753549,0.028108
Cluster,78,365,45,32964,24968,0.757432,0.028942
Cluster,79,385,45,32964,25038,0.759556,0.031275
Cluster,80,405,45,32964,25058,0.760163,0.030813
Cluster,81,425,45,32964,25090,0.761133,0.033672
Cluster,82,445,45,32964,25210,0.764774,0.034394
Cluster,83,465,45,32964,25166,0.763439,0.035364
Cluster,84,485,45,32964,25282,0.766958,0.036275
Cluster,85,505,45,32964,25240,0.765684,0.037623
Cluster,86,525,45,32964,25376,0.769809,0.036108
Cluster,87,545,45,32964,25334,0.768535,0.036751
Cluster,88,565,45,32964,25436,0.77163,0.038629
Cluster,89,585,45,32964,25446,0.771933,0.038377
Cluster,90,5,65,32964,5422,0.164482,0.005103
Cluster,91,25,65,32964,14412,0.437204,0.007252
Cluster,92,45,65,32964,17982,0.545504,0.008678
Cluster,93,65,65,32964,19970,0.605812,0.010302
Cluster,94,85,65,32964,21368,0.648222,0.01176
Cluster,95,105,65,32964,22334,0.677527,0.01311
Cluster,96,125,65,32964,23034,0.698762,0.014494
Cluster,97,145,65,32964,23506,0.713081,0.015901
Cluster,98,165,65,32964,23878,0.724366,0.017005
Cluster,99,185,65,32964,24164,0.733042,0.017642
Cluster,100,205,65,32964,24394,0.740019,0.018761
Cluster,101,225,65,32964,24620,0.746875,0.018913
Cluster,102,245,65,32964,24784,0.751851,0.019989
Cluster,103,265,65,32964,24828,0.753185,0.020726
Cluster,104,285,65,32964,25040,0.759617,0.021617
Cluster,105,305,65,32964,25050,0.75992,0.02255
Cluster,106,325,65,32964,25226,0.765259,0.023666
Cluster,107,345,65,32964,25214,0.764895,0.02446
Cluster,108,365,65,32964,25224,0.765198,0.02528
Cluster,109,385,65,32964,25336,0.768596,0.02606
Cluster,110,405,65,32964,25362,0.769385,0.027496
Cluster,111,425,65,32964,25430,0.771448,0.027676
Cluster,112,445,65,32964,25456,0.772236,0.02871
Cluster,113,465,65,32964,25520,0.774178,0.028822
Cluster,114,485,65,32964,25540,0.774785,0.029761
Cluster,115,505,65,32964,25534,0.774603,0.030786
Cluster,116,525,65,32964,25560,0.775391,0.031948
Cluster,117,545,65,32964,25556,0.77527,0.031819
Cluster,118,565,65,32964,25578,0.775937,0.033546
Cluster,119,585,65,32964,25592,0.776362,0.03434
Cluster,120,5,85,32964,6414,0.194576,0.004733
Cluster,121,25,85,32964,15796,0.479189,0.006685
Cluster,122,45,85,32964,19228,0.583303,0.00819
Cluster,123,65,85,32964,21182,0.64258,0.009611
Cluster,124,85,85,32964,22318,0.677042,0.01101
Cluster,125,105,85,32964,23178,0.703131,0.012409
Cluster,126,125,85,32964,23624,0.716661,0.013533
Cluster,127,145,85,32964,24140,0.732314,0.014567
Cluster,128,165,85,32964,24458,0.741961,0.015791
Cluster,129,185,85,32964,24670,0.748392,0.016065
Cluster,130,205,85,32964,24808,0.752579,0.017402
Cluster,131,225,85,32964,24924,0.756098,0.017901
Cluster,132,245,85,32964,25080,0.76083,0.018976
Cluster,133,265,85,32964,25204,0.764592,0.020301
Cluster,134,285,85,32964,25216,0.764956,0.020757
Cluster,135,305,85,32964,25366,0.769506,0.021442
Cluster,136,325,85,32964,25360,0.769324,0.022337
Cluster,137,345,85,32964,25438,0.77169,0.023252
Cluster,138,365,85,32964,25450,0.772054,0.024205
Cluster,139,385,85,32964,25524,0.774299,0.024802
Cluster,140,405,85,32964,25520,0.774178,0.02555
Cluster,141,425,85,32964,25548,0.775027,0.025919
Cluster,142,445,85,32964,25556,0.77527,0.02688
Cluster,143,465,85,32964,25602,0.776665,0.027565
Cluster,144,485,85,32964,25584,0.776119,0.027777
Cluster,145,505,85,32964,25644,0.77794,0.028577
Cluster,146,525,85,32964,25626,0.777394,0.029737
Cluster,147,545,85,32964,25630,0.777515,0.029846
Cluster,148,565,85,32964,25618,0.777151,0.031756
Cluster,149,585,85,32964,25654,0.778243,0.032016
Cluster,150,5,105,32964,7048,0.213809,0.004672
Cluster,151,25,105,32964,16576,0.502852,0.006605
Cluster,152,45,105,32964,19970,0.605812,0.008108
Cluster,153,65,105,32964,21790,0.661024,0.009509
Cluster,154,85,105,32964,22876,0.693969,0.010814
Cluster,155,105,105,32964,23532,0.71387,0.012037
Cluster,156,125,105,32964,23996,0.727946,0.013305
Cluster,157,145,105,32964,24444,0.741536,0.014109
Cluster,158,165,105,32964,24726,0.750091,0.01521
Cluster,159,185,105,32964,24800,0.752336,0.016133
Cluster,160,205,105,32964,25030,0.759313,0.016572
Cluster,161,225,105,32964,25148,0.762893,0.018321
Cluster,162,245,105,32964,25230,0.76538,0.01896
Cluster,163,265,105,32964,25304,0.767625,0.019692
Cluster,164,285,105,32964,25372,0.769688,0.020015
Cluster,165,305,105,32964,25440,0.771751,0.020907
Cluster,166,325,105,32964,25452,0.772115,0.021779
Cluster,167,345,105,32964,25546,0.774967,0.022142
Cluster,168,365,105,32964,25514,0.773996,0.022912
Cluster,169,385,105,32964,25570,0.775695,0.024093
Cluster,170,405,105,32964,25586,0.77618,0.025288
Cluster,171,425,105,32964,25616,0.77709,0.025774
Cluster,172,445,105,32964,25652,0.778182,0.026484
Cluster,173,465,105,32964,25626,0.777394,0.027852
Cluster,174,485,105,32964,25666,0.778607,0.027894
Cluster,175,505,105,32964,25664,0.778546,0.028331
Cluster,176,525,105,32964,25676,0.77891,0.028352
Cluster,177,545,105,32964,25672,0.778789,0.029692
Cluster,178,565,105,32964,25680,0.779032,0.030253
Cluster,179,585,105,32964,25678,0.778971,0.030408
Cluster,180,5,125,32964,7890,0.239352,0.004638
Cluster,181,25,125,32964,17670,0.536039,0.006536
Cluster,182,45,125,32964,20718,0.628504,0.00798
Cluster,183,65,125,32964,22338,0.677648,0.009359
Cluster,184,85,125,32964,23206,0.70398,0.010684
Cluster,185,105,125,32964,23914,0.725458,0.011725
Cluster,186,125,125,32964,24246,0.73553,0.012896
Cluster,187,145,125,32964,24652,0.747846,0.013688
Cluster,188,165,125,32964,24886,0.754945,0.014534
Cluster,189,185,125,32964,25074,0.760648,0.015401
Cluster,190,205,125,32964,25244,0.765805,0.016015
Cluster,191,225,125,32964,25290,0.767201,0.016842
Cluster,192,245,125,32964,25346,0.768899,0.017804
Cluster,193,265,125,32964,25450,0.772054,0.01836
Cluster,194,285,125,32964,25482,0.773025,0.019412
Cluster,195,305,125,32964,25498,0.77351,0.020102
Cluster,196,325,125,32964,25544,0.774906,0.020715
Cluster,197,345,125,32964,25578,0.775937,0.021384
Cluster,198,365,125,32964,25596,0.776483,0.021983
Cluster,199,385,125,32964,25640,0.777818,0.022626
Cluster,200,405,125,32964,25638,0.777758,0.02309
Cluster,201,425,125,32964,25660,0.778425,0.024861
Cluster,202,445,125,32964,25664,0.778546,0.024995
Cluster,203,465,125,32964,25674,0.77885,0.024924
Cluster,204,485,125,32964,25672,0.778789,0.027317
Cluster,205,505,125,32964,25680,0.779032,0.026441
Cluster,206,525,125,32964,25678,0.778971,0.027557
Cluster,207,545,125,32964,25686,0.779214,0.028292
Cluster,208,565,125,32964,25682,0.779092,0.029297
Cluster,209,585,125,32964,25682,0.779092,0.029297
Cluster,210,5,145,32964,8890,0.269688,0.004604
Cluster,211,25,145,32964,18424,0.558913,0.006407
Cluster,212,45,145,32964,21420,0.6498,0.007791
Cluster,213,65,145,32964,22974,0.696942,0.009028
